Gene	Description	GeneSeurat	GeneDescription	Chromosome	PosStart	PosEnd	Strand	GeneDescription2
PBANKA_0927600	conserved Plasmodium protein, unknown function	PBANKA-0927600	PBANKA_0927600 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	1016413	1019658	+	conserved Plasmodium protein, unknown function - PBANKA_0927600
PBANKA_0800900	conserved Plasmodium protein, unknown function	PBANKA-0800900	PBANKA_0800900 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	44081	47749	-	conserved Plasmodium protein, unknown function - PBANKA_0800900
PBANKA_0824300	conserved Plasmodium protein, unknown function	PBANKA-0824300	PBANKA_0824300 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	946722	949694	+	conserved Plasmodium protein, unknown function - PBANKA_0824300
PBANKA_0902000	dynein light chain, putative	PBANKA-0902000	PBANKA_0902000 - dynein light chain, putative	PbANKA_09_v3	64358	65300	+	dynein light chain, putative - PBANKA_0902000
PBANKA_1462900	rRNA-processing protein FCF2, putative	PBANKA-1462900	PBANKA_1462900 - rRNA-processing protein FCF2, putative	PbANKA_14_v3	2375190	2375705	+	rRNA-processing protein FCF2, putative - PBANKA_1462900
PBANKA_1434200	arginine--tRNA ligase, putative	PBANKA-1434200	PBANKA_1434200 - arginine--tRNA ligase, putative	PbANKA_14_v3	1277637	1280469	-	arginine--tRNA ligase, putative - PBANKA_1434200
PBANKA_1433100	conserved Plasmodium protein, unknown function	PBANKA-1433100	PBANKA_1433100 - conserved Plasmodium protein, unknown function	PbANKA_14_v3	1243088	1243723	+	conserved Plasmodium protein, unknown function - PBANKA_1433100
PBANKA_1423500	60S ribosomal protein L13-2, putative	PBANKA-1423500	PBANKA_1423500 - 60S ribosomal protein L13-2, putative	PbANKA_14_v3	910790	911537	-	60S ribosomal protein L13-2, putative - PBANKA_1423500
PBANKA_0941800	histone H2B, putative	PBANKA-0941800	PBANKA_0941800 - histone H2B, putative	PbANKA_09_v3	1510191	1510547	-	histone H2B, putative - PBANKA_0941800
PBANKA_1440900	conserved protein, unknown function	PBANKA-1440900	PBANKA_1440900 - conserved protein, unknown function	PbANKA_14_v3	1546718	1549286	-	conserved protein, unknown function - PBANKA_1440900
PBANKA_0414100	inorganic pyrophosphatase, putative	PBANKA-0414100	PBANKA_0414100 - inorganic pyrophosphatase, putative	PbANKA_04_v3	504394	505710	+	inorganic pyrophosphatase, putative - PBANKA_0414100
PBANKA_1203600	conserved Plasmodium protein, unknown function	PBANKA-1203600	PBANKA_1203600 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	166447	167440	-	conserved Plasmodium protein, unknown function - PBANKA_1203600
PBANKA_1360000	DNA topoisomerase 3, putative	PBANKA-1360000	PBANKA_1360000 - DNA topoisomerase 3, putative	PbANKA_13_v3	2286751	2288778	+	DNA topoisomerase 3, putative - PBANKA_1360000
PBANKA_0819400	conserved Plasmodium protein, unknown function	PBANKA-0819400	PBANKA_0819400 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	770304	775666	+	conserved Plasmodium protein, unknown function - PBANKA_0819400
PBANKA_0111900	conserved Plasmodium protein, unknown function	PBANKA-0111900	PBANKA_0111900 - conserved Plasmodium protein, unknown function	PbANKA_01_v3	457092	459260	+	conserved Plasmodium protein, unknown function - PBANKA_0111900
PBANKA_0201360	PIR protein, pseudogene	PBANKA-0201360	PBANKA_0201360 - PIR protein, pseudogene	PbANKA_02_v3	58426	60011	-	PIR protein, pseudogene - PBANKA_0201360
PBANKA_1233400	WD repeat-containing protein 26, putative	PBANKA-1233400	PBANKA_1233400 - WD repeat-containing protein 26, putative	PbANKA_12_v3	1283748	1287047	+	WD repeat-containing protein 26, putative - PBANKA_1233400
PBANKA_0601700	conserved Plasmodium protein, unknown function	PBANKA-0601700	PBANKA_0601700 - conserved Plasmodium protein, unknown function	PbANKA_06_v3	146768	148612	+	conserved Plasmodium protein, unknown function - PBANKA_0601700
PBANKA_1305200	serine/threonine protein kinase, putative	PBANKA-1305200	PBANKA_1305200 - serine/threonine protein kinase, putative	PbANKA_13_v3	267718	274858	+	serine/threonine protein kinase, putative - PBANKA_1305200
PBANKA_API00447	tRNA Methionine	PBANKA-API00447	PBANKA_API00447 - tRNA Methionine	PbANKA_API_v3	33193	33280	-	tRNA Methionine - PBANKA_API00447
PBANKA_1351200	zinc finger protein, putative	PBANKA-1351200	PBANKA_1351200 - zinc finger protein, putative	PbANKA_13_v3	1947163	1949309	+	zinc finger protein, putative - PBANKA_1351200
PBANKA_0007701	PIR protein, pseudogene	PBANKA-0007701	PBANKA_0007701 - PIR protein, pseudogene	PbANKA_00_v3_archived_contig_3	1120	2672	+	PIR protein, pseudogene - PBANKA_0007701
PBANKA_0704600	conserved Plasmodium protein, unknown function	PBANKA-0704600	PBANKA_0704600 - conserved Plasmodium protein, unknown function	PbANKA_07_v3	227114	229693	-	conserved Plasmodium protein, unknown function - PBANKA_0704600
PBANKA_1459900	signal recognition particle receptor subunit beta, putative	PBANKA-1459900	PBANKA_1459900 - signal recognition particle receptor subunit beta, putative	PbANKA_14_v3	2286675	2287869	+	signal recognition particle receptor subunit beta, putative - PBANKA_1459900
PBANKA_0214200	tRNA pseudouridine synthase D, putative	PBANKA-0214200	PBANKA_0214200 - tRNA pseudouridine synthase D, putative	PbANKA_02_v3	531512	533986	+	tRNA pseudouridine synthase D, putative - PBANKA_0214200
PBANKA_1246161	fam-a protein	PBANKA-1246161	PBANKA_1246161 - fam-a protein	PbANKA_12_v3	1762727	1764166	-	fam-a protein - PBANKA_1246161
PBANKA_1022000	40S ribosomal protein S25, putative	PBANKA-1022000	PBANKA_1022000 - 40S ribosomal protein S25, putative	PbANKA_10_v3	891797	892591	+	40S ribosomal protein S25, putative - PBANKA_1022000
PBANKA_1029400	conserved Plasmodium protein, unknown function	PBANKA-1029400	PBANKA_1029400 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	1192082	1193963	+	conserved Plasmodium protein, unknown function - PBANKA_1029400
PBANKA_1421100	transcription elongation factor s-II, putative	PBANKA-1421100	PBANKA_1421100 - transcription elongation factor s-II, putative	PbANKA_14_v3	843087	844187	+	transcription elongation factor s-II, putative - PBANKA_1421100
PBANKA_0408600	eukaryotic translation initiation factor 3 subunit K, putative	PBANKA-0408600	PBANKA_0408600 - eukaryotic translation initiation factor 3 subunit K, putative	PbANKA_04_v3	321067	322194	-	eukaryotic translation initiation factor 3 subunit K, putative - PBANKA_0408600
PBANKA_0208000	cyclase-associated protein	PBANKA-0208000	PBANKA_0208000 - cyclase-associated protein	PbANKA_02_v3	279027	279777	+	cyclase-associated protein - PBANKA_0208000
PBANKA_0820600	pyridoxal phosphate homeostasis protein, putative	PBANKA-0820600	PBANKA_0820600 - pyridoxal phosphate homeostasis protein, putative	PbANKA_08_v3	814855	815583	+	pyridoxal phosphate homeostasis protein, putative - PBANKA_0820600
PBANKA_1232300	UTP--glucose-1-phosphate uridylyltransferase, putative	PBANKA-1232300	PBANKA_1232300 - UTP--glucose-1-phosphate uridylyltransferase, putative	PbANKA_12_v3	1251244	1253532	-	UTP--glucose-1-phosphate uridylyltransferase, putative - PBANKA_1232300
PBANKA_0808800	prefoldin-like protein, putative	PBANKA-0808800	PBANKA_0808800 - prefoldin-like protein, putative	PbANKA_08_v3	422908	423816	-	prefoldin-like protein, putative - PBANKA_0808800
PBANKA_0404000	conserved Plasmodium protein, unknown function	PBANKA-0404000	PBANKA_0404000 - conserved Plasmodium protein, unknown function	PbANKA_04_v3	149758	159693	-	conserved Plasmodium protein, unknown function - PBANKA_0404000
PBANKA_1312900	conserved Plasmodium protein, unknown function	PBANKA-1312900	PBANKA_1312900 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	555843	556595	+	conserved Plasmodium protein, unknown function - PBANKA_1312900
PBANKA_1039450	small nucleolar RNA snoR22	PBANKA-1039450	PBANKA_1039450 - small nucleolar RNA snoR22	PbANKA_10_v3	1576343	1576424	+	small nucleolar RNA snoR22 - PBANKA_1039450
PBANKA_0308800	GDP-fructose:GMP antiporter, putative	PBANKA-0308800	PBANKA_0308800 - GDP-fructose:GMP antiporter, putative	PbANKA_03_v3	306218	307512	+	GDP-fructose:GMP antiporter, putative - PBANKA_0308800
PBANKA_1209000	eukaryotic translation initiation factor 2 subunit beta, putative	PBANKA-1209000	PBANKA_1209000 - eukaryotic translation initiation factor 2 subunit beta, putative	PbANKA_12_v3	349124	349889	-	eukaryotic translation initiation factor 2 subunit beta, putative - PBANKA_1209000
PBANKA_0006800	PIR protein, pseudogene	PBANKA-0006800	PBANKA_0006800 - PIR protein, pseudogene	PbANKA_00_v3_archived_contig_2	9893	10715	-	PIR protein, pseudogene - PBANKA_0006800
PBANKA_1455000	mitochondrial carrier protein, putative	PBANKA-1455000	PBANKA_1455000 - mitochondrial carrier protein, putative	PbANKA_14_v3	2136867	2138354	+	mitochondrial carrier protein, putative - PBANKA_1455000
PBANKA_1355300	conserved Plasmodium protein, unknown function	PBANKA-1355300	PBANKA_1355300 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	2083696	2086425	-	conserved Plasmodium protein, unknown function - PBANKA_1355300
PBANKA_0508600	conserved Plasmodium protein, unknown function	PBANKA-0508600	PBANKA_0508600 - conserved Plasmodium protein, unknown function	PbANKA_05_v3	358042	359557	-	conserved Plasmodium protein, unknown function - PBANKA_0508600
PBANKA_1016500	WW domain-binding protein 11, putative	PBANKA-1016500	PBANKA_1016500 - WW domain-binding protein 11, putative	PbANKA_10_v3	709486	711267	+	WW domain-binding protein 11, putative - PBANKA_1016500
PBANKA_0112200	myosin E, putative	PBANKA-0112200	PBANKA_0112200 - myosin E, putative	PbANKA_01_v3	473752	479628	-	myosin E, putative - PBANKA_0112200
PBANKA_0913800	DNA-directed RNA polymerase I subunit RPA2, putative	PBANKA-0913800	PBANKA_0913800 - DNA-directed RNA polymerase I subunit RPA2, putative	PbANKA_09_v3	520115	524627	+	DNA-directed RNA polymerase I subunit RPA2, putative - PBANKA_0913800
PBANKA_1011100	conserved Plasmodium protein, unknown function	PBANKA-1011100	PBANKA_1011100 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	504802	511677	+	conserved Plasmodium protein, unknown function - PBANKA_1011100
PBANKA_0101600	JmjC domain-containing protein, putative	PBANKA-0101600	PBANKA_0101600 - JmjC domain-containing protein, putative	PbANKA_01_v3	79755	81779	+	JmjC domain-containing protein, putative - PBANKA_0101600
PBANKA_0712700	zinc finger protein, putative	PBANKA-0712700	PBANKA_0712700 - zinc finger protein, putative	PbANKA_07_v3	484712	486766	-	zinc finger protein, putative - PBANKA_0712700
PBANKA_1140600	DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative	PBANKA-1140600	PBANKA_1140600 - DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative	PbANKA_11_v3	1543939	1545357	-	DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative - PBANKA_1140600
PBANKA_1038300	translocation associated membrane protein, putative	PBANKA-1038300	PBANKA_1038300 - translocation associated membrane protein, putative	PbANKA_10_v3	1538502	1539879	+	translocation associated membrane protein, putative - PBANKA_1038300
PBANKA_1400700	Plasmodium exported protein, unknown function	PBANKA-1400700	PBANKA_1400700 - Plasmodium exported protein, unknown function	PbANKA_14_v3	83081	83763	-	Plasmodium exported protein, unknown function - PBANKA_1400700
PBANKA_0301200	ERCC1 nucleotide excision repair protein, putative	PBANKA-0301200	PBANKA_0301200 - ERCC1 nucleotide excision repair protein, putative	PbANKA_03_v3	41130	41777	+	ERCC1 nucleotide excision repair protein, putative - PBANKA_0301200
PBANKA_1029900	AAA family ATPase, putative	PBANKA-1029900	PBANKA_1029900 - AAA family ATPase, putative	PbANKA_10_v3	1206798	1209923	-	AAA family ATPase, putative - PBANKA_1029900
PBANKA_0941900	histone H4, putative	PBANKA-0941900	PBANKA_0941900 - histone H4, putative	PbANKA_09_v3	1513619	1513930	+	histone H4, putative - PBANKA_0941900
PBANKA_0301100	conserved Plasmodium protein, unknown function	PBANKA-0301100	PBANKA_0301100 - conserved Plasmodium protein, unknown function	PbANKA_03_v3	39180	40385	-	conserved Plasmodium protein, unknown function - PBANKA_0301100
PBANKA_0312500	origin recognition complex subunit 5, putative	PBANKA-0312500	PBANKA_0312500 - origin recognition complex subunit 5, putative	PbANKA_03_v3	433314	435761	-	origin recognition complex subunit 5, putative - PBANKA_0312500
PBANKA_0908500	myosin K, putative	PBANKA-0908500	PBANKA_0908500 - myosin K, putative	PbANKA_09_v3	296303	301743	-	myosin K, putative - PBANKA_0908500
PBANKA_0520300	conserved Plasmodium protein, unknown function	PBANKA-0520300	PBANKA_0520300 - conserved Plasmodium protein, unknown function	PbANKA_05_v3	734381	737749	-	conserved Plasmodium protein, unknown function - PBANKA_0520300
PBANKA_1023100	conserved Plasmodium protein, unknown function	PBANKA-1023100	PBANKA_1023100 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	924629	929200	+	conserved Plasmodium protein, unknown function - PBANKA_1023100
PBANKA_1405800	ATP-dependent RNA helicase DBP6, putative	PBANKA-1405800	PBANKA_1405800 - ATP-dependent RNA helicase DBP6, putative	PbANKA_14_v3	279790	281757	+	ATP-dependent RNA helicase DBP6, putative - PBANKA_1405800
PBANKA_1326000	GTP-binding protein, putative	PBANKA-1326000	PBANKA_1326000 - GTP-binding protein, putative	PbANKA_13_v3	1020311	1024204	-	GTP-binding protein, putative - PBANKA_1326000
PBANKA_1456100	40S ribosomal protein S17, putative	PBANKA-1456100	PBANKA_1456100 - 40S ribosomal protein S17, putative	PbANKA_14_v3	2163552	2164337	+	40S ribosomal protein S17, putative - PBANKA_1456100
PBANKA_1224300	UDP-N-acetylglucosamine transferase subunit ALG13, putative	PBANKA-1224300	PBANKA_1224300 - UDP-N-acetylglucosamine transferase subunit ALG13, putative	PbANKA_12_v3	919629	920144	-	UDP-N-acetylglucosamine transferase subunit ALG13, putative - PBANKA_1224300
PBANKA_1014700	conserved protein, unknown function	PBANKA-1014700	PBANKA_1014700 - conserved protein, unknown function	PbANKA_10_v3	647308	648526	+	conserved protein, unknown function - PBANKA_1014700
PBANKA_0414400	formate-nitrite transporter, putative	PBANKA-0414400	PBANKA_0414400 - formate-nitrite transporter, putative	PbANKA_04_v3	512513	513798	-	formate-nitrite transporter, putative - PBANKA_0414400
PBANKA_1001400	pre-mRNA-splicing factor CLF1, putative	PBANKA-1001400	PBANKA_1001400 - pre-mRNA-splicing factor CLF1, putative	PbANKA_10_v3	100930	103752	-	pre-mRNA-splicing factor CLF1, putative - PBANKA_1001400
PBANKA_1030500	mini-chromosome maintenance complex-binding protein, putative	PBANKA-1030500	PBANKA_1030500 - mini-chromosome maintenance complex-binding protein, putative	PbANKA_10_v3	1232561	1235299	-	mini-chromosome maintenance complex-binding protein, putative - PBANKA_1030500
PBANKA_1018500	transcription factor BTF3, putative	PBANKA-1018500	PBANKA_1018500 - transcription factor BTF3, putative	PbANKA_10_v3	782789	783313	+	transcription factor BTF3, putative - PBANKA_1018500
PBANKA_0600351	reticulocyte binding protein, putative	PBANKA-0600351	PBANKA_0600351 - reticulocyte binding protein, putative	PbANKA_06_v3	75287	83735	+	reticulocyte binding protein, putative - PBANKA_0600351
PBANKA_0510800	conserved Plasmodium protein, unknown function	PBANKA-0510800	PBANKA_0510800 - conserved Plasmodium protein, unknown function	PbANKA_05_v3	434702	439033	-	conserved Plasmodium protein, unknown function - PBANKA_0510800
PBANKA_0919700	Fe-S cluster assembly protein, putative	PBANKA-0919700	PBANKA_0919700 - Fe-S cluster assembly protein, putative	PbANKA_09_v3	731303	733258	-	Fe-S cluster assembly protein, putative - PBANKA_0919700
PBANKA_1307800	heat shock protein 90, putative	PBANKA-1307800	PBANKA_1307800 - heat shock protein 90, putative	PbANKA_13_v3	372663	375305	+	heat shock protein 90, putative - PBANKA_1307800
PBANKA_1203450	conserved Plasmodium protein, unknown function	PBANKA-1203450	PBANKA_1203450 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	163957	164449	-	conserved Plasmodium protein, unknown function - PBANKA_1203450
PBANKA_0104300	cyclin dependent kinase binding protein, putative	PBANKA-0104300	PBANKA_0104300 - cyclin dependent kinase binding protein, putative	PbANKA_01_v3	176651	178580	-	cyclin dependent kinase binding protein, putative - PBANKA_0104300
PBANKA_1025600	conserved Plasmodium protein, unknown function	PBANKA-1025600	PBANKA_1025600 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	1055984	1056868	-	conserved Plasmodium protein, unknown function - PBANKA_1025600
PBANKA_1225700	GTPase-activating protein, putative	PBANKA-1225700	PBANKA_1225700 - GTPase-activating protein, putative	PbANKA_12_v3	974532	975836	+	GTPase-activating protein, putative - PBANKA_1225700
PBANKA_1242700	AP-1 complex subunit beta, putative	PBANKA-1242700	PBANKA_1242700 - AP-1 complex subunit beta, putative	PbANKA_12_v3	1613223	1616759	-	AP-1 complex subunit beta, putative - PBANKA_1242700
PBANKA_0617800	conserved Plasmodium protein, unknown function	PBANKA-0617800	PBANKA_0617800 - conserved Plasmodium protein, unknown function	PbANKA_06_v3	745800	746189	-	conserved Plasmodium protein, unknown function - PBANKA_0617800
PBANKA_0821300	conserved Plasmodium protein, unknown function	PBANKA-0821300	PBANKA_0821300 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	841901	846319	+	conserved Plasmodium protein, unknown function - PBANKA_0821300
PBANKA_1232000	conserved Plasmodium protein, unknown function	PBANKA-1232000	PBANKA_1232000 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	1238525	1240438	-	conserved Plasmodium protein, unknown function - PBANKA_1232000
PBANKA_1225300	conserved Plasmodium protein, unknown function	PBANKA-1225300	PBANKA_1225300 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	961223	964282	+	conserved Plasmodium protein, unknown function - PBANKA_1225300
PBANKA_1334500	RAP protein, putative	PBANKA-1334500	PBANKA_1334500 - RAP protein, putative	PbANKA_13_v3	1381432	1383536	-	RAP protein, putative - PBANKA_1334500
PBANKA_0714300	small heat shock protein HSP20	PBANKA-0714300	PBANKA_0714300 - small heat shock protein HSP20	PbANKA_07_v3	541000	541941	-	small heat shock protein HSP20 - PBANKA_0714300
PBANKA_1116000	TRAP-like protein	PBANKA-1116000	PBANKA_1116000 - TRAP-like protein	PbANKA_11_v3	609101	612325	+	TRAP-like protein - PBANKA_1116000
PBANKA_1123600	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase, putative	PBANKA-1123600	PBANKA_1123600 - N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase, putative	PbANKA_11_v3	878698	879948	-	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase, putative - PBANKA_1123600
PBANKA_1224800	conserved protein, unknown function	PBANKA-1224800	PBANKA_1224800 - conserved protein, unknown function	PbANKA_12_v3	938375	939762	+	conserved protein, unknown function - PBANKA_1224800
PBANKA_1325300	splicing factor 3B subunit 2, putative	PBANKA-1325300	PBANKA_1325300 - splicing factor 3B subunit 2, putative	PbANKA_13_v3	999486	1001832	-	splicing factor 3B subunit 2, putative - PBANKA_1325300
PBANKA_MIT02600	unspecified product	PBANKA-MIT02600	PBANKA_MIT02600 - unspecified product	PbANKA_MIT_v3	4999	5028	-	unspecified product - PBANKA_MIT02600
PBANKA_0916600	oxysterol-binding protein, putative	PBANKA-0916600	PBANKA_0916600 - oxysterol-binding protein, putative	PbANKA_09_v3	627356	630946	+	oxysterol-binding protein, putative - PBANKA_0916600
PBANKA_1029600	conserved Plasmodium protein, unknown function	PBANKA-1029600	PBANKA_1029600 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	1198404	1199534	+	conserved Plasmodium protein, unknown function - PBANKA_1029600
PBANKA_0814400	conserved Plasmodium protein, unknown function	PBANKA-0814400	PBANKA_0814400 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	614728	615443	-	conserved Plasmodium protein, unknown function - PBANKA_0814400
PBANKA_0919100	parasitophorous vacuolar protein 1	PBANKA-0919100	PBANKA_0919100 - parasitophorous vacuolar protein 1	PbANKA_09_v3	713958	715124	-	parasitophorous vacuolar protein 1 - PBANKA_0919100
PBANKA_1246800	PIR protein	PBANKA-1246800	PBANKA_1246800 - PIR protein	PbANKA_12_v3	1789656	1790807	+	PIR protein - PBANKA_1246800
PBANKA_0201500	Plasmodium exported protein, unknown function	PBANKA-0201500	PBANKA_0201500 - Plasmodium exported protein, unknown function	PbANKA_02_v3	68633	69502	-	Plasmodium exported protein, unknown function - PBANKA_0201500
PBANKA_0210200	aspartate--tRNA ligase, putative	PBANKA-0210200	PBANKA_0210200 - aspartate--tRNA ligase, putative	PbANKA_02_v3	360274	362334	+	aspartate--tRNA ligase, putative - PBANKA_0210200
PBANKA_0205400	proteasome subunit beta type-3, putative	PBANKA-0205400	PBANKA_0205400 - proteasome subunit beta type-3, putative	PbANKA_02_v3	184766	185813	+	proteasome subunit beta type-3, putative - PBANKA_0205400
PBANKA_1402400	conserved protein, unknown function	PBANKA-1402400	PBANKA_1402400 - conserved protein, unknown function	PbANKA_14_v3	166004	167242	+	conserved protein, unknown function - PBANKA_1402400
PBANKA_1131400	metacaspase-1	PBANKA-1131400	PBANKA_1131400 - metacaspase-1	PbANKA_11_v3	1176710	1178497	-	metacaspase-1 - PBANKA_1131400
PBANKA_1106500	rhomboid protease ROM4	PBANKA-1106500	PBANKA_1106500 - rhomboid protease ROM4	PbANKA_11_v3	259183	261009	-	rhomboid protease ROM4 - PBANKA_1106500
PBANKA_1118400	conserved Plasmodium protein, unknown function	PBANKA-1118400	PBANKA_1118400 - conserved Plasmodium protein, unknown function	PbANKA_11_v3	687034	690354	+	conserved Plasmodium protein, unknown function - PBANKA_1118400
PBANKA_1452300	conserved protein, unknown function	PBANKA-1452300	PBANKA_1452300 - conserved protein, unknown function	PbANKA_14_v3	2017357	2018309	+	conserved protein, unknown function - PBANKA_1452300
PBANKA_0920700	conserved Plasmodium protein, unknown function	PBANKA-0920700	PBANKA_0920700 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	763560	765264	+	conserved Plasmodium protein, unknown function - PBANKA_0920700
PBANKA_0820200	thioredoxin-like protein 1, putative	PBANKA-0820200	PBANKA_0820200 - thioredoxin-like protein 1, putative	PbANKA_08_v3	805594	806514	+	thioredoxin-like protein 1, putative - PBANKA_0820200
PBANKA_1458900	epsin-like protein, putative	PBANKA-1458900	PBANKA_1458900 - epsin-like protein, putative	PbANKA_14_v3	2256469	2258012	+	epsin-like protein, putative - PBANKA_1458900
PBANKA_0209200	parasite-infected erythrocyte surface protein	PBANKA-0209200	PBANKA_0209200 - parasite-infected erythrocyte surface protein	PbANKA_02_v3	320987	322504	-	parasite-infected erythrocyte surface protein - PBANKA_0209200
PBANKA_0504000	tRNA methyltransferase, putative	PBANKA-0504000	PBANKA_0504000 - tRNA methyltransferase, putative	PbANKA_05_v3	161812	164604	-	tRNA methyltransferase, putative - PBANKA_0504000
PBANKA_0516600	leucine-rich repeat protein	PBANKA-0516600	PBANKA_0516600 - leucine-rich repeat protein	PbANKA_05_v3	610894	612335	-	leucine-rich repeat protein - PBANKA_0516600
PBANKA_0922600	kelch domain-containing protein, putative	PBANKA-0922600	PBANKA_0922600 - kelch domain-containing protein, putative	PbANKA_09_v3	823893	826099	+	kelch domain-containing protein, putative - PBANKA_0922600
PBANKA_0707500	RWD domain-containing protein, putative	PBANKA-0707500	PBANKA_0707500 - RWD domain-containing protein, putative	PbANKA_07_v3	312344	313700	+	RWD domain-containing protein, putative - PBANKA_0707500
PBANKA_0415100	conserved Plasmodium protein, unknown function	PBANKA-0415100	PBANKA_0415100 - conserved Plasmodium protein, unknown function	PbANKA_04_v3	535288	536910	+	conserved Plasmodium protein, unknown function - PBANKA_0415100
PBANKA_1340500	conserved Plasmodium protein, unknown function	PBANKA-1340500	PBANKA_1340500 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	1584925	1594872	+	conserved Plasmodium protein, unknown function - PBANKA_1340500
PBANKA_0417200	PH domain-containing protein	PBANKA-0417200	PBANKA_0417200 - PH domain-containing protein	PbANKA_04_v3	645124	646083	-	PH domain-containing protein - PBANKA_0417200
PBANKA_0409200	valine--tRNA ligase, putative	PBANKA-0409200	PBANKA_0409200 - valine--tRNA ligase, putative	PbANKA_04_v3	332624	336176	+	valine--tRNA ligase, putative - PBANKA_0409200
PBANKA_1419100	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative	PBANKA-1419100	PBANKA_1419100 - dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative	PbANKA_14_v3	755309	756895	+	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative - PBANKA_1419100
PBANKA_0411400	conserved Plasmodium protein, unknown function	PBANKA-0411400	PBANKA_0411400 - conserved Plasmodium protein, unknown function	PbANKA_04_v3	407473	410933	-	conserved Plasmodium protein, unknown function - PBANKA_0411400
PBANKA_1202000	inner membrane complex protein 1c	PBANKA-1202000	PBANKA_1202000 - inner membrane complex protein 1c	PbANKA_12_v3	107010	107846	+	inner membrane complex protein 1c - PBANKA_1202000
PBANKA_1343750	Plasmodium RNA of unknown function RUF1	PBANKA-1343750	PBANKA_1343750 - Plasmodium RNA of unknown function RUF1	PbANKA_13_v3	1725783	1726053	+	Plasmodium RNA of unknown function RUF1 - PBANKA_1343750
PBANKA_MIT02900	unspecified product	PBANKA-MIT02900	PBANKA_MIT02900 - unspecified product	PbANKA_MIT_v3	5286	5342	-	unspecified product - PBANKA_MIT02900
PBANKA_0827300	tetratricopeptide repeat protein, putative	PBANKA-0827300	PBANKA_0827300 - tetratricopeptide repeat protein, putative	PbANKA_08_v3	1057206	1061576	-	tetratricopeptide repeat protein, putative - PBANKA_0827300
PBANKA_0906800	conserved Plasmodium protein, unknown function	PBANKA-0906800	PBANKA_0906800 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	224361	225320	+	conserved Plasmodium protein, unknown function - PBANKA_0906800
PBANKA_0817800	conserved Plasmodium protein, unknown function	PBANKA-0817800	PBANKA_0817800 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	721608	721754	+	conserved Plasmodium protein, unknown function - PBANKA_0817800
PBANKA_0213400	60S ribosomal export protein NMD3, putative	PBANKA-0213400	PBANKA_0213400 - 60S ribosomal export protein NMD3, putative	PbANKA_02_v3	497780	500251	-	60S ribosomal export protein NMD3, putative - PBANKA_0213400
PBANKA_1336600	conserved protein, unknown function	PBANKA-1336600	PBANKA_1336600 - conserved protein, unknown function	PbANKA_13_v3	1447371	1449359	+	conserved protein, unknown function - PBANKA_1336600
PBANKA_1000051	fam-a protein	PBANKA-1000051	PBANKA_1000051 - fam-a protein	PbANKA_10_v3	20337	21860	+	fam-a protein - PBANKA_1000051
PBANKA_1020200	peptidyl-prolyl cis-trans isomerase, putative	PBANKA-1020200	PBANKA_1020200 - peptidyl-prolyl cis-trans isomerase, putative	PbANKA_10_v3	843829	846092	-	peptidyl-prolyl cis-trans isomerase, putative - PBANKA_1020200
PBANKA_1328000	serine/threonine protein phosphatase UIS2	PBANKA-1328000	PBANKA_1328000 - serine/threonine protein phosphatase UIS2	PbANKA_13_v3	1120942	1124910	+	serine/threonine protein phosphatase UIS2 - PBANKA_1328000
PBANKA_1007900	conserved Plasmodium protein, unknown function	PBANKA-1007900	PBANKA_1007900 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	368874	369509	-	conserved Plasmodium protein, unknown function - PBANKA_1007900
PBANKA_0704500	HECT-like E3 ubiquitin ligase, putative	PBANKA-0704500	PBANKA_0704500 - HECT-like E3 ubiquitin ligase, putative	PbANKA_07_v3	204107	226549	+	HECT-like E3 ubiquitin ligase, putative - PBANKA_0704500
